materia,edicao,tema,enunciado,alt_a,alt_b,alt_c,alt_d,correta,comentario
"etica","XXXI","Processo Disciplinar","Havendo indícios de que Sara obteve inscrição na Ordem dos Advogados do Brasil mediante prova falsa, foi instaurado contra ela processo disciplinar. Sobre o tema, assinale a afirmativa correta.","O processo disciplinar contra Sara pode ser instaurado de ofício ou mediante representação, que pode ser anônima.","Em caso de revelia de Sara, o processo disciplinar seguirá, independentemente de designação de defensor dativo.","O processo disciplinar instaurado contra Sara será, em regra, público.","O recurso contra eventual decisão que determine o cancelamento da inscrição de Sara não terá efeito suspensivo.","D","Para além do disposto no art. 72, caput, da Lei n° 8.906/1994 (Estatuto da Advocacia e da OAB), segundo o qual ""o processo disciplinar instaura-se de ofício ou mediante representação de qualquer autoridade ou pessoa interessada"", dispõe o art. 51, caput, do Código de Ética e Disciplina da OAB que ""o processo disciplinar instaura-se de ofício ou mediante representação dos interessados, que não pode ser anônima"". Nos moldes do art. 52, § 1°, do Código de Ética e Disciplina da OAB c/c art. 73, § 4°, do Estatuto da Advocacia e da OAB, ""se o representado não for encontrado ou for revel, o Presidente do Conselho ou da Subseção deve designar-lhe defensor dativo"". Nos termos do art. 72, § 2°, do Estatuto da Advocacia e da OAB, ""o processo disciplinar tramita em sigilo, até o seu término, só tendo acesso às suas informações as partes, seus defensores e a autoridade judiciária competente"". De conformidade com o disposto no art. 77 do Estatuto da Advocacia e da OAB, ""todos os recursos têm efeito suspensivo, exceto quando tratarem (...) de cancelamento da inscrição obtida com falsa prova""."
"etica","XXXI","Publicidade Profissional","Em certo município, os advogados André e Helena são os únicos especialistas em determinado assunto jurídico. Por isso, André foi convidado a participar de entrevista na imprensa escrita sobre as repercussões de medidas tomadas pelo Poder Executivo local, relacionadas à sua área de especialidade. Durante a entrevista, André convidou os leitores a litigarem em face da Administração Pública, conclamando-os a procurarem advogados especializados para ajuizarem, desde logo, as demandas que considerava tecnicamente cabíveis. Porém, quando indagado sobre os meios de contato de seu escritório, para os leitores interessados, André disse que, por obrigação ética, não poderia divulgá-los por meio daquele veículo. Por sua vez, a advogada Helena, irresignada com as mesmas medidas tomadas pelo Executivo, procurou um programa de rádio, oferecendo-se para uma reportagem sobre o assunto. No programa, Helena manifestou-se de forma técnica, educativa e geral, evitando sensacionalismo. Considerando as situações acima narradas e o disposto no Código de Ética e Disciplina da OAB, assinale a afirmativa correta.","André e Helena agiram de forma ética, observando as normas previstas no Código de Ética e Disciplina da OAB.","Nenhum dos dois advogados agiu de forma ética, tendo ambos inobservado as normas previstas no Código de Ética e Disciplina da OAB.","Apenas André agiu de forma ética, observando as normas previstas no Código de Ética e Disciplina da OAB.","Apenas Helena agiu de forma ética, observando as normas previstas no Código de Ética e Disciplina da OAB.","B","Os advogados André e Helena agiram de forma antiética, uma vez que ambos não observaram as normas previstas no Código de Ética e Disciplina (CED) da OAB. Segundo o art. 32 do CED, ""o advogado que eventualmente participar de programa de televisão ou de rádio, de entrevista na imprensa, de reportagem televisionada ou de qualquer outro meio, para manifestação profissional, deve visar a objetivos exclusivamente ilustrativos, educacionais e instrutivos, sem propósito de promoção pessoal ou profissional, vedados pronunciamentos sobre métodos de trabalho usados por seus colegas de profissão"". Por fim, dispõe o art. 33, V, do CED que ""o advogado deve abster-se de insinuar-se para reportagens e declarações públicas""."
"etica","XXXI","Honorários Advocatícios","O advogado Fernando foi contratado por Flávio para defendê-lo, extrajudicialmente, tendo em vista a pendência de inquérito civil em face do cliente. O contrato celebrado por ambos foi assinado em 10/03/15, não prevista data de vencimento. Em 10/03/17, foi concluída a atuação de Fernando, tendo sido homologado o arquivamento do inquérito civil junto ao Conselho Superior do Ministério Público. Em 10/03/18, Fernando notificou extrajudicialmente Flávio, pois este ainda não havia adimplido os valores relativos aos honorários contratuais acordados. A ação de cobrança de honorários a ser proposta por Fernando prescreve em","três anos, contados de 10/03/15.","cinco anos, contados de 10/03/17.","três anos, contados de 10/03/18.","cinco anos, contados de 10/03/15.","B","Em consonância com o art. 25 do Estatuto da Advocacia e da OAB, ""prescreve em cinco anos a ação de cobrança de honorários de advogado, contado o prazo: I – do vencimento do contrato, se houver; II – do trânsito em julgado da decisão que os fixar; III – da ultimação do serviço extrajudicial; IV – da desistência ou transação; V – da renúncia ou revogação do mandato"". In casu, não foi prevista data de vencimento no contrato, razão pela qual a prescrição terá como termo inicial a data de ultimação (conclusão, término, finalização) do serviço extrajudicial em apreço, qual seja, a da conclusão da atuação de Fernando, tendo sido homologado o arquivamento do inquérito civil em tela junto ao Conselho Superior do Ministério Público."
"etica","XXXI","Sociedades de Advogados","Os sócios Antônio, Daniel e Marcos constituíram a sociedade Antônio, Daniel & Advogados Associados, com sede em São Paulo e filial em Brasília. Após desentendimentos entre eles, Antônio constitui sociedade unipessoal de advocacia, com sede no Rio de Janeiro. Marcos, por sua vez, retira-se da sociedade Antônio, Daniel & Advogados Associados. Sobre a situação apresentada, assinale a afirmativa correta.","Daniel não está obrigado a manter inscrição suplementar em Brasília, já que a sociedade Antônio, Daniel & Marcos Advogados Associados tem sede em São Paulo.","Antônio deverá retirar-se da Antônio, Daniel & Marcos Advogados Associados, já que não pode integrar, simultaneamente, uma sociedade de advogados e uma sociedade unipessoal de advocacia.","Mesmo após Marcos se retirar da sociedade Antônio, Daniel & Marcos Advogados Associados permanece o impedimento para que ele e Antônio representem em juízo clientes com interesses opostos.","Caso Antônio também se retire da Antônio, Daniel & Marcos Advogados Associados, a sociedade deverá passar a ser denominada Daniel Sociedade Individual de Advocacia.","D","Inicialmente, destaca-se que o art. 15, § 7°, do Estatuto da Advocacia e da OAB estabelece que ""a sociedade unipessoal de advocacia pode resultar da concentração por um advogado das quotas de uma sociedade de advogados, independentemente das razões que motivaram tal concentração"". Por derradeiro, importa ressaltar que o art. 16, § 4°, do mesmo diploma legislativo estipula que ""a denominação da sociedade unipessoal de advocacia deve ser obrigatoriamente formada pelo nome do seu titular, completo ou parcial, com a expressão 'Sociedade Individual de Advocacia'""."
"etica","XXXI","Relação Advogado-Cliente","Um escritório de renome internacional considera expandir suas operações, iniciando atividades no Brasil. Preocupados em adaptar seus procedimentos internos para que reflitam os códigos brasileiros de ética profissional, seus dirigentes estrangeiros desejam entender melhor as normas a respeito da relação entre clientes e advogados no país. Sobre esse tema, é correto afirmar que os advogados brasileiros","podem, para a adoção de medidas judiciais urgentes e inadiáveis, aceitar procuração de quem já tenha patrono constituído, sem prévio conhecimento deste.","deverão considerar sua própria opinião a respeito da culpa do acusado ao assumir defesa criminal.","podem funcionar, no mesmo processo, simultaneamente, como patrono e preposto de seu cliente, desde que tenham conhecimento direto dos fatos.","podem representar, em juízo, clientes com interesses opostos se não integrarem a mesma sociedade profissional, mas estiverem reunidos em caráter permanente para cooperação recíproca.","A","De acordo com o art. 11 do Código de Ética e Disciplina da OAB – CED, ""o advogado não deve aceitar procuração de quem já tenha patrono constituído, sem prévio conhecimento deste, salvo por motivo justo ou para adoção de medidas judiciais urgentes e inadiáveis""."
"etica","XXXI","Conselhos da OAB","O advogado João era conselheiro de certo Conselho Seccional da OAB. Todavia, por problemas pessoais, João decidiu renunciar ao mandato. Considerando o caso narrado, assinale a afirmativa correta.","Compete ao plenário do Conselho Seccional respectivo declarar extinto o mandato, sendo exigido que previamente ouça João no prazo de dez dias, após notificação deste mediante ofício com aviso de recebimento.","Compete à Diretoria do Conselho Seccional respectivo declarar extinto o mandato, independentemente de exigência de prévia notificação para oitiva de João.","Compete ao plenário do Conselho Seccional respectivo declarar extinto o mandato, sendo exigido que previamente ouça João no prazo de quinze dias, após notificação pessoal deste.","Compete à Segunda Câmara do Conselho Federal da OAB declarar extinto o mandato, independentemente de exigência de prévia notificação para oitiva de João.","B","Nos exatos ditames do art. 54, caput e § 1°, do Regulamento Geral do Estatuto da Advocacia e da OAB, ""compete à Diretoria dos Conselhos Federal e Seccionais (...) declarar extinto o mandato"", ocasião em que ""a Diretoria, antes de declarar extinto o mandato, salvo no caso de morte ou renúncia, ouve o interessado no prazo de quinze dias, notificando-o mediante ofício com aviso de recebimento""."
"etica","XXXI","Sociedades de Advogados","A sociedade Antônio, Breno, Caio & Diego Advogados Associados é integrada, exclusivamente, pelos sócios Antônio, Breno, Caio e Diego, todos advogados regularmente inscritos na OAB. Em um determinado momento, Antônio vem a falecer. Breno passa a exercer mandato de vereador, sem figurar entre os integrantes da Mesa Diretora da Câmara Municipal ou seus substitutos legais. Caio passa a exercer, em caráter temporário, função de direção em empresa concessionária de serviço público. Considerando esses acontecimentos, assinale a afirmativa correta.","O nome de Antônio poderá permanecer na razão social da sociedade após o seu falecimento, ainda que tal possibilidade não esteja prevista em seu ato constitutivo.","Breno deverá licenciar-se durante o período em que exercer o mandato de vereador, devendo essa informação ser averbada no registro da sociedade.","Caio deverá deixar a sociedade, por ter passado a exercer atividade incompatível com a advocacia.","Com o falecimento de Antônio, se Breno e Caio deixarem a sociedade e nenhum outro sócio ingressar nela, Diego poderá continuar suas atividades, caso em que passará a ser titular de sociedade unipessoal de advocacia.","D","Nesse sentido, dispõe o art. 15, § 7°, do Estatuto da Advocacia e da OAB que ""a sociedade unipessoal de advocacia pode resultar da concentração por um advogado das quotas de uma sociedade de advogados, independentemente das razões que motivaram tal concentração""."
"etica","XXXI","Elegibilidade para Conselhos","Os advogados Diego, William e Pablo, todos em situação regular perante a OAB, desejam candidatar-se ao cargo de conselheiro de um Conselho Seccional da OAB. Diego é advogado há dois anos e um dia, sendo sócio de uma sociedade simples de prestação de serviços de advocacia e nunca foi condenado por infração disciplinar. William, por sua vez, exerce a advocacia há exatos quatro anos e constituiu sociedade unipessoal de advocacia, por meio da qual advoga atualmente. William já foi condenado pela prática de infração disciplinar, tendo obtido reabilitação um ano e três meses após o cumprimento da sanção imposta. Já Pablo é advogado há cinco anos e um dia e nunca respondeu por prática de qualquer infração disciplinar. Atualmente, Pablo exerce certo cargo em comissão, exonerável ad nutum, cumprindo atividades exclusivas da advocacia. Considerando as informações acima e o disposto na Lei n° 8.906/94, assinale a afirmativa correta.","Apenas Diego e William cumprem os requisitos para serem eleitos para o cargo pretendido.","Apenas William cumpre os requisitos para ser eleito para o cargo pretendido.","Apenas Diego e Pablo cumprem os requisitos para serem eleitos para o cargo pretendido.","Apenas Pablo cumpre os requisitos para ser eleito para o cargo pretendido.","B","Nos moldes do art. 63, § 2°, do Estatuto da Advocacia e da OAB, apenas William cumpre os requisitos para ser eleito para o cargo de conselheiro de Conselho Seccional da OAB, pois logrou êxito em comprovar ""situação regular perante a OAB, não ocupar cargo exonerável ad nutum, não ter sido condenado por infração disciplinar, salvo reabilitação, e exercer efetivamente a profissão há mais de 3 (três) anos, nas eleições para os cargos de Conselheiro Seccional e das Subseções, quando houver (...)""."
"filosofia","XXXI","Contratualismo Kantiano","""É preciso sair do estado natural, no qual cada um age em função dos seus próprios caprichos, e convencionar com todos os demais em submeter-se a uma limitação exterior, publicamente acordada, e, por conseguinte, entrar num estado em que tudo que deve ser reconhecido como seu é determinado pela lei…"" Immanuel Kant. A perspectiva contratualista de Kant, apresentada na obra Doutrina do Direito, sustenta ser necessário passar de um estado de natureza, no qual as pessoas agem egoisticamente, para um estado civil, em que a vida em comum seja regulada pela lei, como forma de justiça pública. Isso implica interferir na liberdade das pessoas. Em relação à liberdade no estado civil, assinale a opção que apresenta a posição que Kant sustenta na obra em referência.","O homem deixou sua liberdade selvagem e sem freio para encontrar toda a sua liberdade na dependência legal, isto é, num estado jurídico, porque essa dependência procede de sua própria vontade legisladora.","A liberdade num estado jurídico ou civil consiste na capacidade da vontade soberana de cada indivíduo de fazer aquilo que deseja, pois somente nesse estado o homem se vê livre das forças da natureza que limitam sua vontade.","A liberdade civil resulta da estrutura política do estado, de forma que somente pode ser considerado liberdade aquilo que decorre de uma afirmação de vontade do soberano. No estado civil, a liberdade não pode ser considerada uma vontade pessoal.","Na república, a liberdade é do governante para governar em prol de todos os cidadãos, de modo que o governante possui liberdade, e os governados possuem direitos que são instituídos pelo governo.","A","Em relação à liberdade no estado civil, entende-se que o homem deixou sua liberdade selvagem e sem freio para encontrar toda a sua liberdade na dependência legal, ou seja, em um estado jurídico, uma vez que essa dependência decorre de sua própria vontade legisladora. Sob o viés kantiano, o caráter de ser humano não deve entrar no estado civil coagido por outro, mas pela sua própria vontade, ou seja, o ser humano não aplica ou realiza qualquer contrato como meio para alcançar a finalidade de outrem, mas sim motivado pela sua própria finalidade."
"filosofia","XXXI","Justiça em Aristóteles","""Temos pois definido o justo e o injusto. Após distingui-los assim um do outro, é evidente que a ação justa é intermediária entre o agir injustamente e o ser vítima da injustiça; pois um deles é ter demais e o outro é ter demasiado pouco."" ARISTÓTELES. Ética a Nicômaco. Coleção Os Pensadores. São Paulo: Abril Cultural, 1973. Em seu livro Ética a Nicômaco, Aristóteles apresenta a justiça como uma virtude e a diferencia daquilo que é injusto. Assinale a opção que define aquilo que, nos termos do livro citado, deve ser entendido como justiça enquanto virtude.","Uma espécie de meio-termo, porém não no mesmo sentido que as outras virtudes, e sim porque se relaciona com uma quantia intermediária, enquanto a injustiça se relaciona com os extremos.","Uma maneira de proteger aquilo que é o mais conveniente para o mais forte, uma vez que a justiça como produto do governo dos homens expressa sempre as forças que conseguem fazer valer seus próprios interesses.","O cumprimento dos pactos que decorrem da vida em sociedade, seja da lei como pacto que vincula todos os cidadãos da cidade, seja dos contratos que funcionam como pactos celebrados entre particulares e vinculam as partes contratantes.","Um imperativo categórico que define um modelo de ação moralmente desejável para toda e qualquer pessoa e se expressa da seguinte maneira: ""Age como se a máxima de tua ação devesse tornar-se, por meio da tua vontade, uma lei universal"".","A","Na sua obra ""Ética a Nicômaco"", Aristóteles apresenta conceitos absolutamente basilares ao Direito brasileiro. Dentre estes, cabe destacar o entendimento da igualdade material perante a Constituição Federal, o qual foi profundamente influenciada por tal obra. De acordo com as percepções aristotélicas, é possível inferir que a justiça distributiva é somente uma dentre diversas existentes, e caracteriza-se pela distribuição, entre os integrantes de uma determinada comunidade política, de bens, honras, vantagens e quaisquer outros benefícios do gênero. Como dito por Aristóteles, ""se, pois, o injusto é desigual, o justo é igual (...) E, como o igual é um ponto intermediário, o justo será um meio-termo."""
